"Customer Purchase Or","Overall status","Item category","Material group","Material - Model Number (Key)"
"011-0008740-003","A","FIS Return Item","Capital","OFP-2"
"011-0008740-003","A","FIS Return Item","Capital","TJF-160VF"
"011-0008740-003","A","FIS Return Item","Capital","LTF-VH"
"011-0008740-003","A","FIS Return Item","Capital","CF-HQ190L"
"011-0008740-003","A","FIS Return Item","Capital","PCF-H190L"
"011-0008740-003","A","FIS Return Item","Capital","GIF-HQ190"
"011-0008740-003","A","FIS Return Item","Capital","BF-1T180"
"011-0008740-003","A","FIS Return Item","Capital","OEP-5"
"011-0008740-003","A","FIS Return Item","Capital","PROSOUND F75"
"011-0009676-001","C","FIS Return Item","Capital","IS20292"
"011-0013398-001","A","FIS Return Item","Capital","OEV-261H"
"011-0013398-001","A","FIS Return Item","Capital","CF-HQ190L"
"011-0013398-001","A","FIS Return Item","Capital","PCF-H190L"
"011-0013398-001","A","FIS Return Item","Capital","GIF-H190"
"011-0013398-001","A","FIS Return Item","Capital","GIF-XP190N"
"011-0013398-001","A","FIS Return Item","Capital","OEP-5"
"012-0010079-003","C","FIS Return Item","Capital","OEP-4"
"012-0010079-003","C","FIS Return Item","Capital","LMD-1950MD"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","CLV-180"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","CV-180"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","GIF-H180J"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","CF-H180AL"
"101-0007328-049","C","Lease Trade-In Ret.","Capital","PCF-H180AL"
"101-0007328-049","C","Lease Trade Value","Capital","CLV-180"
"101-0007328-049","C","Lease Trade Value","Capital","CV-180"
"101-0007328-049","C","Lease Trade Value","Capital","GIF-H180J"
"101-0007328-049","C","Lease Trade Value","Capital","CF-H180AL"
"101-0007328-049","C","Lease Trade Value","Capital","PCF-H180AL"
"101-0007328-049","C","OP Sales Item","Capital","MAJ-1430"
"101-0007328-049","C","OP Sales Item","Capital","CV-190"
"101-0007328-049","C","OP Sales Item","Capital","CLV-190"
"101-0007328-049","C","OP Sales Item","Capital","CF-HQ190L"
"101-0007328-049","C","OP Sales Item","Capital","GIF-HQ190"
"101-0007328-049","C","OP Sales Item","Capital","PCF-H190DL"
"101-0007328-049","C","OP Sales Item","Capital","IS2019HB"
